"spec","cov_id","rule","pair_key","cancer","lppd_spec","lppd_paper1_primary","lppd_baseline_train","delta_vs_paper1","delta_vs_baseline"
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","ACC",-6.65024878045709,-6.51515306172658,-6.67749896492244,-0.135095718730512,0.0272501844653448
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","BLCA",-60.1174667085815,-59.882767407751,-60.1150767947366,-0.234699300830449,-0.00238991384485843
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","BRCA",-53.5368650293412,-53.33382943087,-53.5410011606485,-0.203035598471196,0.0041361313073196
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","CESC",-20.0063228146156,-19.8056152109089,-19.9295903343409,-0.200707603706746,-0.076732480274682
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","CHOL",-9.95435086206306,-10.1318737909829,-10.211906244114,0.177522928919878,0.257555382050977
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","CORE",-57.5579796182857,-56.5277887575917,-57.5117107574028,-1.03019086069406,-0.0462688608829538
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","DLBC",-3.89253570838355,-4.05676250086065,-4.05274682927721,0.164226792477101,0.160211120893661
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","ESCA",-27.1964338872873,-27.1462958799979,-27.2845855107718,-0.0501380072894442,0.088151623484535
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","HNSC",-69.416550461419,-68.8233389064667,-69.3567662845463,-0.593211554952305,-0.0597841768726965
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","KICH",-5.0382552581064,-4.99059619094526,-5.03692611169964,-0.0476590671611383,-0.00132914640675441
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","KIRC",-89.9179442716288,-89.7592278766831,-90.1807620676648,-0.158716394945785,0.262817796035961
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","KIRP",-22.6890747681705,-23.9201917361441,-22.7799554142405,1.23111696797361,0.0908806460700191
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","LGG",-39.9528036402009,-40.1011533887645,-40.0316619630612,0.148349748563646,0.0788583228602917
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","LIHC",-50.6178818396031,-49.2921962247549,-50.7651022329297,-1.32568561484823,0.147220393326563
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","LUAD",-62.63388708992,-62.9162412734836,-62.5950763403184,0.282354183563569,-0.038810749601673
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","LUSC",-99.5792644989305,-97.7431373717097,-99.1775261271172,-1.83612712722081,-0.401738371813209
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","MESO",-16.9208789857203,-16.847198298346,-16.9041706579213,-0.0736806873743561,-0.0167083277990372
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","OV",-69.1051261238519,-68.4227652949758,-69.1698544820649,-0.682360828876099,0.0647283582130171
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","PAAD",-27.9147167540562,-27.6736885200274,-27.8336244545588,-0.241028234028764,-0.0810922994974099
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","PCPG",-0.915445246199147,-0.89979443629964,-0.866458302374165,-0.0156508098995075,-0.0489869438249817
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","PRAD",-5.42003893379864,-5.66646864563603,-5.30014259849449,0.246429711837387,-0.119896335304158
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","SARC",-38.5516921580078,-37.9539525641474,-39.1422194649989,-0.597739593860382,0.590527306991113
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","SKCM",-63.4347434715772,-63.5303963886053,-63.5119768201394,0.0956529170280973,0.0772333485621886
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","STAD",-59.9385583766271,-60.965298729115,-60.1219966387442,1.02674035248791,0.183438262117157
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","TGCT",-1.63328108906006,-1.96006595541158,-1.58248468640516,0.326784866351528,-0.0507964026548944
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","THCA",-7.87866218013172,-7.81951519019867,-7.88923473624168,-0.059146989933053,0.0105725561099561
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","THYM",-5.27292269517922,-5.32938907123936,-5.09599415663932,0.0564663760601443,-0.176928538539893
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","UCEC",-50.3653931505005,-48.626350061796,-50.2194451424514,-1.73904308870448,-0.145948008049103
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","UCS",-11.7628085284405,-11.7892947433871,-11.8012793633897,0.0264862149466492,0.038470834949285
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","ACC",-6.65650857024986,-6.51515306172658,-6.67749896492244,-0.141355508523278,0.0209903946725785
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","BLCA",-60.3247792691423,-59.882767407751,-60.1150767947366,-0.442011861391279,-0.209702474405688
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","BRCA",-53.3491560430064,-53.33382943087,-53.5410011606485,-0.0153266121363274,0.191845117642188
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","CESC",-20.0462391777776,-19.8056152109089,-19.9295903343409,-0.240623966868714,-0.11664884343665
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","CHOL",-10.2233454411361,-10.1318737909829,-10.211906244114,-0.0914716501531867,-0.0114391970220868
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","CORE",-57.610974979662,-56.5277887575917,-57.5117107574028,-1.08318622207035,-0.0992642222592366
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","DLBC",-4.34644753683264,-4.05676250086065,-4.05274682927721,-0.289685035971994,-0.293700707555433
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","ESCA",-27.2384181672977,-27.1462958799979,-27.2845855107718,-0.0921222872998158,0.0461673434741634
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","HNSC",-69.420355538101,-68.8233389064667,-69.3567662845463,-0.597016631634318,-0.06358925355471
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","KICH",-5.06139855523499,-4.99059619094526,-5.03692611169964,-0.0708023642897277,-0.0244724435353438
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","KIRC",-89.8119594404341,-89.7592278766831,-90.1807620676648,-0.0527315637510668,0.368802627230679
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","KIRP",-22.7571370999005,-23.9201917361441,-22.7799554142405,1.16305463624356,0.0228183143399754
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","LGG",-40.0019568958702,-40.1011533887645,-40.0316619630612,0.0991964928943432,0.0297050671909886
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","LIHC",-50.5230059461874,-49.2921962247549,-50.7651022329297,-1.23080972143248,0.242096286742317
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","LUAD",-62.5940771242357,-62.9162412734836,-62.5950763403184,0.322164149247868,0.000999216082625765
